"feed_tables","DM %","CP %","CF %","CFat %","Ash %","Insol. ash %","NDF %","ADF %","Lignin %","WICW %","Starch %","Starch (enz.) %","Sugars %","Lactose %","GE kcal/kg","GE MJ/kg"
"Potato_tuber,_dried",100,10.3,2.5,0.4,6.2,1.5,8.3,3.6,0.9,7.4,73.2,70.1,5.3,NA,4060,17
"Poultry_fat",100,0,0,100,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Processed_animal_proteins,_pig",100,55.1,1.6,14.3,28.2,0.4,6.4,2,0.5,5.5,0,0,0,NA,4400,18.4
"Processed_animal_proteins,_poultry,_protein_>_70%",100,82.2,1.3,12.1,5.5,0.5,5.1,3.4,0.5,4.2,0,0,0,NA,5700,23.8
"Processed_animal_proteins,_poultry,_protein_45-60%",100,57.5,1.3,30.8,10.9,0.5,5.1,3.4,0.5,4.2,0,0,0.4,NA,6070,25.4
"Processed_animal_proteins,_poultry,_protein_60-70%",100,67.5,1,23.2,10.7,0.5,5.1,3.4,0.5,4.2,0,0,0,NA,5830,24.4
"Rapeseed_meal,_oil_<_5%",100,38.1,14.3,2.4,7.6,0.3,31.6,20.7,9.7,35.9,6.3,1.6,10.5,NA,4620,19.3
"Rapeseed_meal,_oil_5-20%",100,33.7,12.7,12.8,6.7,0.3,29.3,19.5,9,34.1,6.6,1.6,10,NA,5120,21.4
"Rapeseed_oil",100,0,0,99.7,0.2,0,0,0,0,0,0,0,0,NA,9380,39.3
"Rapeseed,_whole",100,20.1,9.2,47.7,4.3,0.3,20,14.1,6.4,19.2,3.7,1.6,5.9,NA,6940,29.1
"Rapeseed,_whole,_extruded",100,20.1,9.2,47.7,4.3,0.3,20,14.1,6.4,19.2,3.7,1.6,5.9,NA,6940,29.1
"Rice_bran,_oil_<_5%,_crude_fibre_>_20%",100,6.5,32.9,3.7,18.4,15.2,54.4,37.7,12.3,56.5,15.6,12.5,1.2,NA,4050,17
"Rice_bran,_oil_<_5%,_crude_fibre_11-20%",100,16.4,15.2,1.3,13.8,3.3,32.6,18.3,6.2,33.9,26.4,23.6,2.6,NA,4110,17.2
"Rice_bran,_oil_<_5%,_crude_fibre_5-11%",100,16.4,10.2,3.2,13,1.5,26.3,12.9,4.5,27.5,32,29.4,2.8,NA,4210,17.6
"Rice_bran,_oil_>_5%,_crude_fibre_>_20%",100,7.8,28.7,7.2,17.3,14.9,49.3,33.2,10.8,51.2,16.1,13.1,2.1,NA,4260,17.8
"Rice_bran,_oil_>_5%,_crude_fibre_11-20%",100,12.3,16.3,14.1,12.7,7.2,33.9,19.5,6.6,35.2,26.5,23.7,1.6,NA,4780,20
"Rice_bran,_oil_>_5%,_crude_fibre_5-11%",100,15.4,9,18.6,7.7,1.6,24.5,11.5,4.1,25.9,24.8,21.9,2.8,NA,5220,21.8
"Rice_hulls",100,3.7,42.4,1.6,17.4,15.9,66.1,48.2,15.5,68.6,5.8,2.4,0,NA,3890,16.3
"Rice_shorts,_oil_<_5%,_crude_fibre_<_5%",100,11.5,3.8,3.5,2.5,0.5,16.7,5.8,2.4,19.3,59.9,58.1,3.1,NA,4560,19.1
"Rice_shorts,_oil_>_5%,_crude_fibre_<_5%",100,14.1,4.1,13,6.6,0.7,17.2,6.2,2.5,19.7,42,39.7,3.1,NA,4910,20.6
"Rice,_brown",100,10.5,2.4,2.8,1.9,1,7.5,2.9,1.2,6.6,87.1,86.1,1.2,NA,4380,18.3
"Rice,_paddy",100,8.5,11,2.5,5.8,4.3,26.4,13.5,5.5,25.5,64.3,62.7,1.2,NA,4240,17.7
"Rice,_polished,_broken",100,9.2,0.6,1.3,1,0.4,5.7,1.8,0.4,4.8,86.1,85.1,0.5,NA,4300,18
"Rye",100,9.8,2.3,1.4,2,0.06,14.8,3.3,1.1,14.7,62,56.9,3.6,NA,4290,18
"Seashells,_ground",100,0,0,0,96.2,5.7,0,0,0,0,0,0,0,NA,0,0
"Selenium_methionine",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Selenium_yeast",100,47.9,1.9,5.3,8,0.6,8.3,2.4,0.7,7.5,8.6,0,1.9,NA,4770,20
"Sesame_meal,_oil_>_5%",100,45.1,7.7,11.9,11.9,2.4,22.4,10.1,1.9,21.5,2.1,0.5,3.6,NA,4970,20.8
"Sheanut_oil_meal,_oil_>_5%",100,13.5,10.3,11.6,5.9,0.9,39.2,32.6,18.4,38.3,0,0,0,NA,4780,20
"Shrimp_meal",100,43.3,14.3,5.2,26.1,1.2,29.3,23.5,2.4,0,0,0,0,NA,4020,16.8
"Sodium_bicarbonate",100,0,0,0,64,0,0,0,0,0,0,0,0,NA,0,0
"Sodium_chloride",100,0,0,0,99.7,0,0,0,0,0,0,0,0,NA,0,0
"Sodium_iodide",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Sodium_molybdate_dihydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Sodium_selenate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Sodium_selenite",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Sodium_sulfate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Sodium-calcium-magnesium_phosphate",100,0,0,0,100,1.1,0,0,0,0,0,0,0,NA,0,0
"Sorghum",100,10.6,2.8,3.3,2.1,0.3,11.1,4.3,1.1,8.5,73.6,64,1.3,NA,4480,18.7
"Soybean_hulls",100,12.8,39.1,2.1,5.3,0.5,65.3,46.5,2.4,71,5.7,0.1,1.2,NA,4330,18.1
"Soybean_meal,_oil_<_5%,_46%_protein_+_oil",100,49.5,7.2,1.9,7.4,0.3,14.8,8.9,0.8,21.6,6.8,0.9,10.6,NA,4660,19.5
"Soybean_meal,_oil_<_5%,_48%_protein_+_oil",100,52.6,6.8,1.8,7.1,0.6,14.2,8.4,0.6,21,5.7,1.9,9.2,NA,4710,19.7
"Soybean_meal,_oil_<_5%,_48%_protein_+_oil,_extruded",100,52.6,6.8,1.8,7.1,0.6,14.2,8.4,0.6,21,5.7,1.9,9.2,NA,4710,19.7
"Soybean_meal,_oil_<_5%,_48%_protein_+_oil,_formaldehyde-treated",100,52.6,6.8,1.8,7.1,0.6,14.2,8.4,0.6,21,5.7,1.9,9.2,NA,4710,19.7
"Soybean_meal,_oil_<_5%,_50%_protein_+_oil",100,55.2,4.4,1.7,7.3,0.07,10.5,5.7,0.4,17.4,6.3,1.1,10.8,NA,4710,19.7
"Soybean_meal,_oil_5-20%",100,47,6.4,9.5,6.6,0.7,13.6,8,0.8,20.4,5,0.8,9.3,NA,5050,21.1
"Soybean_molasses",100,7.7,0,0.7,19.6,0,0.8,0.4,0,0,0,0,48.2,NA,3320,13.9
"Soybean_oil",100,0,0,100,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Soybean_protein_concentrate,_protein_50-60%",100,58.3,3.9,1.8,7.2,0.03,9.8,5.1,0.4,8.9,5.1,0.3,2.1,NA,4760,19.9
"Soybean_protein_concentrate,_protein_60-70%",100,69.4,4.4,1.1,6.5,0.03,10.5,5.7,0.2,9.6,8,1.5,0.8,NA,4920,20.6
"Soybean_protein_concentrate,_protein_70-90%",100,84.4,1.3,2.5,4.6,0.03,5.6,2,0.2,4.7,5,0.2,0.8,NA,5280,22.1
"Soybean,_whole,_extruded",100,40.2,6.3,20.5,5.7,0.09,13.4,7.8,1,19.4,5.9,0.7,8.4,NA,5560,23.3
"Soybean,_whole,_flaked",100,40.2,6.3,20.5,5.7,0.09,13.4,7.8,1,19.4,5.9,0.7,8.4,NA,5560,23.3
"Soybean,_whole,_toasted",100,40.4,6.5,22.3,5.5,0.09,13.8,8.1,1,19.6,5.8,0.7,9.2,NA,5670,23.7
"Soybean,_whole,_toasted,_flaked_and_expanded",100,39.6,6.5,22.8,5.5,0.09,13.7,8.1,1,19.5,6.9,0.7,8.2,NA,5690,23.8
"Sunflower_hulls",100,5.7,57.5,4.5,3.3,0.3,80.4,61.7,22.1,84.4,2.1,0.4,1.5,NA,4800,20.1
"Sunflower_meal,_oil_<_5%,_dehulled",100,40.4,19.6,1.4,7.2,0.1,34.8,23.2,7.5,30.6,3.9,1.2,7.4,NA,4620,19.4
"Sunflower_meal,_oil_<_5%,_non_dehulled",100,30.7,29.5,2.1,6.8,0.5,46.8,33.6,11.4,52,3.7,0.5,6,NA,4620,19.4
"Sunflower_meal,_oil_5-20%,_dehulled",100,36,19.7,9.5,6.6,0.1,34.8,23.3,7.5,30.7,5.4,1.2,7.4,NA,5010,21
"Sunflower_meal,_oil_5-20%,_non_dehulled",100,25.8,27.5,15.8,5.6,0.7,44.4,31.5,10.6,47.7,3.9,0.2,6.3,NA,5310,22.2
"Sunflower_oil",100,0,0,99.7,0.05,0,0,0,0,0,0,0,0,NA,9380,39.3
"Sunflower_seed,_whole",100,16,17.1,48,3.4,0.04,31,20.5,6.4,25.2,1.3,0.4,2.7,NA,6850,28.7
"Sweet_potato,_dried",100,5.1,3,1.2,3.4,0.3,10.4,4.9,0.9,9.5,72.8,72.8,7.4,NA,4150,17.4
"Tallow",100,0,0,100,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Tomato_pulp,_dehydrated",100,20.5,40.6,11,4.8,0.7,55.3,45.3,26.3,54.4,0,0,0.6,NA,5180,21.7
"Tricalcium_phosphate",100,0,0,0,98.2,0,0,0,0,0,0,0,0,NA,0,0
"Triticale",100,11.5,2.9,1.4,2,0.06,15,3.8,1.2,12.6,67.8,62.2,3.5,NA,4320,18.1
"Urea",100,287,0,0,0.03,0,0,0,0,0,0,0,0,NA,2530,10.6
"Vinasse,_different_origins",100,64.2,0,0,7.4,0.01,0,0,0,0,0,0,5.5,NA,4650,19.5
"Vinasse,_from_the_production_of_glutamic_acid",100,69.9,0,0.9,5.8,1,0,0,0,0,0,0,4.6,NA,4850,20.3
"Vinasse,_from_yeast_production,_protein_30_%",100,49.2,0,1.4,14.1,0.01,0,0,0,0,0,0,3,NA,4210,17.6
"Vinasse,_from_yeast_production,_protein_40%",100,61.3,0,1.1,10.3,0.01,0,0,0,0,0,0,3.5,NA,4530,19
"Vinasse,_from_yeast_production,_protein_48%",100,66.1,0,1.4,9.6,0.01,0,0,0,0,0,0,3,NA,4660,19.5
"Wheat_bran",100,17.6,10.5,3.8,5.6,0.2,45.6,13.5,3.9,44.7,22.3,18.7,7.9,NA,4520,18.9
"Wheat_bran_from_starch_production",100,17.4,10.3,3.3,5.1,0.2,44.6,13.3,3.8,43.8,22.7,19,7.9,NA,4510,18.9
"Wheat_bran,_durum",100,17.2,10.8,5.2,5.2,0.1,46.5,13.8,3.9,45.6,24.9,21.1,7.8,NA,4600,19.3
"Wheat_distillers_grains,_starch_<_7%,_dried",100,35.8,7.8,5.4,5.7,0.2,34.7,14.1,5.4,33.9,4.1,1.8,3,NA,4910,20.5
"Wheat_distillers_grains,_starch_>_7%,_dried",100,32.7,6,4.6,5.5,0.7,31,8.8,3.4,30.4,12,9.1,5.8,NA,4810,20.1
"Wheat_feed_flour",100,15.1,1.1,2.7,1.7,0.07,8.2,1.7,0.5,7.5,69.7,62.5,5.6,NA,4510,18.9
"Wheat_feed_flour,_durum",100,16.5,1.7,3,2,0.07,10.6,2.5,0.5,9.9,66.2,59.3,5.7,NA,4540,19
"Wheat_flour_""Gruau_D"",_durum",100,18.5,1.3,3.8,2.7,0.07,8.9,1.9,0.5,8.2,63.1,56.4,5.9,NA,4580,19.2
"Wheat_gluten",100,85,0.7,1.7,1,0,0.5,0.3,0.05,0.5,5.7,5.5,3.1,NA,5450,22.8
"Wheat_gluten_feed,_type_20%_starch",100,19.1,6.8,4.6,7.5,0.3,31.7,9.3,3,31,20.7,20.1,3.2,NA,4530,19
"Wheat_gluten_feed,_type_30%_starch",100,16.7,6.4,2.9,4.1,0.3,31.2,9.1,3,30.5,33.8,32.7,9.4,NA,4550,19.1
"Wheat_middlings_(average)",100,17.9,7.9,4.4,4.7,0.09,35.3,10.3,3,34.4,32.3,27.9,7.9,NA,4580,19.2
"Wheat_middlings,_durum",100,18,8,4.8,4.5,0.09,35.5,10.4,3,34.7,35.8,31.1,7.2,NA,4610,19.3
"Wheat_middlings,_starch_<_20%",100,17.9,8.2,4.3,4.4,0.09,36.2,10.6,3.1,35.3,21.4,17.8,7.9,NA,4580,19.2
"Wheat_middlings,_starch_>_40%",100,17.1,6.5,3.9,3.6,0.09,29.4,8.4,2.5,28.7,51.1,45.4,7.4,NA,4570,19.1
"Wheat_middlings,_starch_20-30%",100,18.1,8,4.6,4.3,0.09,35.5,10.4,3,34.7,28.6,24.5,8,NA,4610,19.3
"Wheat_middlings,_starch_30-40%",100,17.6,6.8,4.2,3.8,0.09,30.7,8.8,2.6,29.9,38.5,33.7,7.7,NA,4590,19.2
"Wheat_straw",100,3.9,41.6,1.4,6.6,3,78,50,7.5,77.1,0.8,0,1.4,NA,4410,18.4
"Wheat,_durum",100,16.4,3,2,2.1,0.05,15.9,4.2,1.3,11.7,63.6,69,3.2,NA,4420,18.5
"Wheat,_soft",100,12.6,2.7,1.6,1.8,0.05,14.7,3.8,1.2,11.4,69.1,65.8,3,NA,4350,18.2
"Whey_permeate",100,5.8,0,1.4,8.7,0.5,0,0,0,0,0,0,86.5,86.5,3730,15.6
"Whey_powder,_acid",100,9.3,0,1.3,11.5,0.5,0,0,0,0,0,0,66.2,66.2,3650,15.3
"Whey_powder,_sweet",100,11.3,0,1.7,10,0.5,0,0,0,0,0,0,66.2,66.2,3770,15.8
"Whey,_dehydrated,_with_added_fat_4-15%",100,15,0,10.4,8.8,0.6,0,0,0,0,0,0,46.8,46.8,4330,18.1
"Whey,_dried,_with_added_fat_15-30%",100,13.8,0,19.6,8.5,0.6,0,0,0,0,0,0,41.6,41.6,4810,20.1
"Zinc_carbonate_FG",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Zinc_carbonate_RG",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Zinc_chloride",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Zinc_lysine",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Zinc_metal",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Zinc_methionine",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Zinc_oxide",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Zinc_sulfate_heptahydrate_RG",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
