"EPK_ferti_crop_name","ORGANIC","n","N_org","Norg_sd_w","Norg_se_w","Norg_CI95","N_min","Nmin_sd_w","Nmin_se_w","Nmin_CI95"
"Betterave_sucriere",0,374,54.0637636959923,87.2344235270725,6.55903805754173,12.8557145927818,86.3616264947193,48.6352093926435,3.65681546853875,7.16735831833595
"Ble_dur",1,17,42.2975844973673,55.0144255237767,22.7156593156174,44.5226922586101,0,0,0,0
"Ble_dur",0,576,3.52935253075509,21.9856345391489,1.35743862526711,2.66057970552354,184.550154214389,52.5744649567733,3.24605638777434,6.36227052003771
"Ble_tendre",1,57,49.2756231178666,65.5251301936037,15.2869608894134,29.9624433432502,0,0,0,0
"Ble_tendre",0,1034,10.5842660561162,37.9967346521308,1.86110625795931,3.64776826560026,165.783885779313,44.2117281881687,2.16552092592995,4.24442101482271
"Canne_a_sucre",0,326,13.0282881016135,77.8044695357871,6.7594462666518,13.2485146826375,145.063962627445,51.2153242096926,4.44945173574295,8.72092540205619
"Colza",1,19,109.150567550542,114.406554138472,37.280612030274,73.0699995793371,0,0,0,0
"Colza",0,958,42.8033874240221,79.3459768310113,4.05215084627424,7.94221565869751,157.801363207719,46.8538005492434,2.39279513756742,4.68987846963215
"Feverole",1,72,4.01372502615546,20.275478871456,3.88168067011409,7.60809411342362,0,0,0,0
"Feverole",0,563,7.76199686103273,34.3585602972805,2.48981390206937,4.88003524805596,2.37780838656258,12.2649674046338,0.888788298702432,1.74202506545677
"Lin_fibre",0,127,4.81766949941731,22.8261417025402,2.8811377809706,5.64703005070237,28.6238905346816,21.5702999813406,2.72262421888819,5.33634346902086
"Lin_oleagineux",1,22,35.3351936938977,52.1804423810564,14.9536420424977,29.3091384032955,0,0,0,0
"Lin_oleagineux",0,289,11.3971424453634,38.2262694533373,3.29149903145684,6.4513381016554,73.79795661961,35.6387457506942,3.06869853632828,6.01464913120342
"Mais_fourrage",1,39,90.6986476908109,66.3168958664598,23.0175588115052,45.1144152705503,0,0,0,0
"Mais_fourrage",0,1079,150.978587095058,116.663801756235,7.46922929993712,14.6396894278768,63.1335859382365,59.6048107297637,3.78424214845218,7.41711461096628
"Mais_grain",1,59,127.4426878009,81.3521660840532,25.1859030581474,49.3643699939688,0,0,0,0
"Mais_grain",0,1774,61.0824823782276,100.344268334702,4.03481941624231,7.90824605583493,133.22664939798,68.4242626271708,2.75132349831182,5.39259405669117
"Melange_avec_proteagineux",1,179,36.1108772099276,55.3736727789213,6.39508806570332,12.5343726087785,0,0,0,0
"Melange_avec_proteagineux",0,316,39.4089002013731,62.208556637481,6.50925029714373,12.7581305824017,35.4991414900507,35.2241741270009,3.68571428588135,7.22400000032745
"Melange_de_cereales",1,60,28.4915042584387,49.0353564973606,14.4646914477956,28.3507952376793,0,0,0,0
"Melange_de_cereales",0,288,60.6053682231719,67.5852488234191,6.54839768976408,12.8348594719376,70.3320332224278,38.4510582292342,3.72555883511155,7.30209531681865
"Melange_fourrager",1,118,49.8393565293819,61.6279857113777,8.26927136749207,16.2077718802844,0,0,0,0
"Melange_fourrager",0,563,58.5259326209722,69.3541432488498,4.84262500190437,9.49154500373256,29.377207055878,34.0499412836496,2.37752337855189,4.65994582196171
"Orge",1,43,42.418374578867,73.056048686403,17.2612338343511,33.8320183153282,0,0,0,0
"Orge",0,1055,14.9543111768306,45.5868462455232,2.22936947400043,4.36956416904084,120.540501736414,37.831429620758,1.85010022189451,3.62619643491324
"Pois_proteagineux",1,41,10.1968949107131,29.4962533946973,6.98313390868752,13.6869424610275,0,0,0,0
"Pois_proteagineux",0,719,4.93642192591073,24.5434553729455,1.27103443907446,2.49122750058594,1.73423317298407,10.8573258248858,0.562269445356677,1.10204811289909
"Pomme_de_terre",1,37,109.066136690101,90.7617003819682,26.0794469321608,51.1157159870352,0,0,0,0
"Pomme_de_terre",0,717,51.7034948324799,91.3020874115065,6.3618765093075,12.4692779582427,140.171368928491,57.4644401849514,4.00408887132492,7.84801418779684
"Prairie_permanente",1,102,22.2344998408555,48.0420914493029,7.12535821506528,13.965702101528,0,0,0,0
"Prairie_permanente",0,970,26.9926840716016,50.7817096031213,2.47272368606694,4.8465384246912,21.5679360831908,33.7679365497117,1.64426871778545,3.22276668685949
"Prairie_temporaire",1,95,37.9893562282788,74.8280535491593,13.5250586777213,26.5091150083338,0,0,0,0
"Prairie_temporaire",0,651,61.9922158453298,90.5652925074237,5.34026218235757,10.4669138774208,46.6530800279673,44.0896164872973,2.59978304097525,5.09557476031149
"Soja",1,19,14.2272968324259,37.8986167541804,11.6530659864338,22.8400093334103,0,0,0,0
"Soja",0,121,2.90784531416868,20.3267175185794,2.83987290153671,5.56615088701195,3.25413400298417,15.659880732403,2.1878628899427,4.28821126428769
"Tournesol",1,30,28.0180738677581,54.3644900285038,14.3339998130944,28.0946396336649,0,0,0,0
"Tournesol",0,586,13.0172369543043,43.818363643247,3.27521901447034,6.41942926836187,41.691820340775,26.0854162239821,1.94976361766366,3.82153669062078
"Triticale",1,135,45.5863840387558,62.7393747157029,8.76270112298195,17.1748942010446,0,0,0,0
"Triticale",0,1225,45.2921143980481,66.1754149617953,2.81822006318703,5.52371132384657,97.8222819341851,40.6652603864348,1.73181615501677,3.39435966383286
