"FADN_code_letter","FADN_code_number","FADN_code_description","land_use_type","RICA_code_number","product_name","comment_match_FADN_RICA","notes","species","crop_family","TFI_crop_name","justif_IFT","EPK_ferti_crop_name","justif_EPK","feed_type","EUROSTAT_feedstuff","EUROSTAT_match_comment","SAA_Agreste_2020","feed_tables","IPCC_default_values"
"CGRPWINOTH","40460","Grapes for other wines","arable","675;676","Vignes_à_vin_sans_IG_ou_VSIG;Raisin_à_vin_sans_IG_ou_VSIG","Same as table wines",NA,"fruits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CNURS","40500","Nurseries","arable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCRPPERMOTH","40600","Other permanent crops","arable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COWCHRST","40610","Christmas trees","arable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CPERMUG","40700","Permanent crops under glass","arable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYNG","40800","Growth of young plantations","arable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CWDED","50200","Wooded area","forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COWSHROT","50210","Of which short rotation coppices","forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLNDOTH","50900","Other land","other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMUSH","60000","Mushrooms","arable","711","Champignons","Direct match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRENTOUTLND","90100","Receipts from renting out agricultural land","other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CSUGBTTOP","90320","Sugar beet tops","arable","213","Betterave_sucriere","By-product proxy",NA,"root_vegetable","chenopodiaceae","Betterave sucriere","same denomination","Betterave_sucriere","same denomination",NA,"Dried_sugar_beet_pulp","By-product proxy",NA,"Beet_pulp,_dried;Beet_pulp,_pressed",NA
"COTH","90900","Other","other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOTCERNORICE","CER","Cereals (excl. rice)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOTCER","CERRI","cereals (incl. Rice)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOTCOP","COP","Cereals _oilse&prot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOTFORAGE","FOR","Forage (incl. Grass)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOTFORAGECR","FORCR","Forage crops products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOTFRUT","FRU","Fruit (incl. Citrus)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOTUG","GLA","Crops under glas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOTGRASS","GRA","Grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOTHORT","HOR","Vegetables, mushrooms, flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOTIRRIG","IRR","Tot.irr.crop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOTNONFOOD","NFC","Tot. n.food cr. set as.ar.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOTCROPOTH","OCC","Oth. field cash crops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOTPERMOTH","OPC","Non-fruit permanent crops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCRPPROT_X",NA,"Dry pulses","arable","323","Luzerne_pour_deshydratation","Closest match (dry pulse)",NA,"legumes",NA,NA,NA,NA,NA,NA,"Dried_lucerne","Legume/protein crop average",NA,NA,NA
"CFRUTBER_X",NA,"Fruit and berry orchar.","arable","721","Pepinieres_fruitieres,_plants_fruitiers","Closest proxy (fruit orchards)",NA,"fruits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLVGROV_X",NA,"Olive groves","arable","562","Olive_pour_l'huile","Direct match",NA,"fruits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CSEEDGRAS_X",NA,"Grass seed","arable","371","Semences_d'herbe","Direct match",NA,NA,NA,NA,NA,NA,NA,NA,"Meadow_hay;Dried_lucerne","Forage average",NA,NA,NA
"CUNUSEDLND",NA,"Unutilised agricultural land","other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CVIN_X",NA,"Vines","arable","630;670;675","Vignes_AOP/AOC;Vignes_IGP;Vignes_sans_IG","All wine vines grouped",NA,"fruits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
