"CODE_PRODUIT","LIBELLE_PRODUIT","SIQO_FILIERE","RICA_var","RICA_var_libelle","RICA_var_code","RICA_var_code_libelle","species","production_type"
"LA0205","VIANDES ET ABATS FRAIS OU SURGELES DE PORC","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"LA0891","VIANDES ET ABATS FRAIS DE PORC FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"LA1988","VIANDES ET ABATS FRAIS DE PORC FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"LA0489","VIANDES ET ABATS FRAIS DE PORC","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"LA1706","VIANDES ET ABATS DE PORC FRAIS ET SURGELES","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"LA1790","VIANDES ET ABATS DE PORC FRAIS ET SURGELES","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"LA0989","VIANDES ET ABATS DE PORC FERMIER ELEVE EN PLEIN AIR FRAIS ET SURGELES","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"LA0589","VIANDES ABATS ET PREPARATIONS DERIVEES DE VIANDE FRAIS OU SURGELES DE PORC FERMIER","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"LA0112","VIANDE FRAICHE OU SURGELEE D AGNEAU DE PLUS DE 14 KG DE CARCASSE NOURRI PAR TETEE AU PIS AU MOINS 60 JOURS","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
"LA1793","VIANDE FRAICHE ET SURGELEE ET ABATS FRAIS D AGNEAU DE PLUS DE 14 KG CARCASSE NOURRI PAR TETEE AU PIS AU MOINS 60 JOURS","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
"LA2288","VIANDE FRAICHE ET SURGELEE DE GROS BOVINS DE RACE LIMOUSINE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA0585","VIANDE FRAICHE ET SURGELEE D AGNEAU DE PLUS DE 13 KG DE CARCASSE NOURRI PAR TETEE AU PIS AU MOINS 60 JOURS","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
"LA0995","VIANDE FRAICHE ET SURGELEE D AGNEAU DE PLUS DE 13 KG DE CARCASSE NOURRI PAR TETEE AU PIS AU MOINS 60 JOURS","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
"LA0813","VIANDE FRAICHE DE VEAU NOURRI PAR TETEE AU PIS POUVANT RECEVOIR UNE ALIMENTATION COMPLEMENTAIRE SOLIDE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA0381","VIANDE FRAICHE DE VEAU NOURRI PAR TETEE AU PIS POUVANT RECEVOIR UN ALIMENT COMPLEMENTAIRE LIQUIDE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA2092","VIANDE FRAICHE DE VEAU NOURRI PAR TETEE AU PIS POUVANT RECEVOIR UN ALIMENT COMPLEMENTAIRE LIQUIDE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA2289","VIANDE FRAICHE DE VEAU NOURRI AU LAIT ENTIER","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA3099","VIANDE FRAICHE DE VEAU NOURRI AU LAIT ENTIER","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA0386","VIANDE FRAICHE DE GROS BOVINS FERMIERS","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA1693","VIANDE FRAICHE DE GROS BOVINS FERMIERS","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA2605","VIANDE FRAICHE DE GROS BOVINS DE RACE PARTHENAISE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA0511","VIANDE FRAICHE DE GROS BOVINS DE RACE BLONDE D AQUITAINE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA0294","VIANDE FRAICHE DE GROS BOVINS DE BOUCHERIE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA1297","VIANDE FRAICHE DE GROS BOVINS DE BOUCHERIE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA1699","VIANDE FRAICHE D AGNEAU NOURRI ESSENTIELLEMENT AU LAIT MATERNEL PAR TETEE AU PIS NON SEVRE POUVANT RECEVOIR UNE COMPLEMENTATION PAR UN ALIMENT CONCENTRE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
"LA0295","VIANDE FRAICHE D AGNEAU DE PLUS DE 15 KG DE CARCASSE NOURRI PAR TETEE AU PIS AU MOINS 60 JOURS","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
"LA0199","VIANDE ET ABATS FRAIS ET SURGELES DE GROS BOVINS FERMIERS DE RACE AUBRAC","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA0804","VIANDE ET ABATS FRAIS ET SURGELES DE GROS BOVINS DE RACE SALERS","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA1897","VIANDE ET ABATS FRAIS ET SURGELES DE GROS BOVINS DE RACE GASCONNE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA0274","VIANDE ET ABATS FRAIS ET SURGELES DE GROS BOVINS DE RACE CHAROLAISE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA1189","VIANDE ET ABATS FRAIS ET SURGELES DE GROS BOVINS DE RACE CHAROLAISE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA0902","VIANDE ET ABATS FRAIS ET SURGELES DE GROS BOVINS DE RACE BLONDE D AQUITAINE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA1791","VIANDE ET ABATS FRAIS ET SURGELES DE GROS BOVINS DE RACE BLONDE D AQUITAINE","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"LA1108","VIANDE ET ABATS FRAIS ET SURGELES D AGNEAU NOURRI EXCLUSIVEMENT AU LAIT MATERNEL","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
"LA1992","VIANDE ET ABATS FRAIS ET SURGELES D AGNEAU NOURRI EXCLUSIVEMENT AU LAIT MATERNEL","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
"LA0394","VIANDE ET ABATS FRAIS ET SURGELES D AGNEAU DE PLUS DE 15 KG DE CARCASSE NOURRI PAR TETEE AU PIS AU MOINS 60 JOURS","LR, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
