"CODE_PRODUIT","LIBELLE_PRODUIT","SIQO_FILIERE","RICA_var","RICA_var_libelle","RICA_var_code","RICA_var_code_libelle","species","production_type"
"A763","RACLETTE DE SAVOIE","IGP, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","cattle","milk"
"A104","QUINCY","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A1137","QUETSCH D ALSACE","IG, EAUXDEVIE ET AUTRES ALCOOLS",NA,NA,NA,NA,NA,NA
"A103","QUARTS DE CHAUME","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A951","PUYDEDOME","IGP, VINS",NA,NA,NA,NA,NA,NA
"A219","PULIGNYMONTRACHET","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A65","PUISSEGUINSAINTEMILION","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A513","PRUNEAUX D AGEN","IGP, FRUITS A PEPIN ET A NOYAU",NA,NA,NA,NA,NA,"fruits"
"A665","PRESSALES DU MONTSAINTMICHEL","AOP & AOC, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
"A606","PRESSALES DE LA BAIE DE SOMME","AOP & AOC, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"sheep","meat"
"A64","PREMIERES COTES DE BORDEAUX","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A429","POULIGNYSAINTPIERRE","AOP & AOC, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","goats","milk"
"LA1989","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0106","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0115","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0118","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0279","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0383","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0390","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0598","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0771","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0885","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1889","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1893","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA2598","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0275","POULET NOIR FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0197","POULET NOIR FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0569","POULET NOIR FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1214","POULET NOIR FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA2306","POULET NOIR FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0179","POULET NOIR FERMIER ELEVE EN LIBERTE ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1377","POULET NOIR FERMIER ELEVE EN LIBERTE ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0178","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0181","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0286","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0291","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0300","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0317","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0393","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0517","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0605","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0688","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0785","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0801","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1588","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1801","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA2299","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA2392","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA2398","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA5088","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA5788","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1401","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1901","POULET JAUNE FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0184","POULET JAUNE FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1114","POULET JAUNE FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1487","POULET JAUNE FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA5688","POULET JAUNE FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0165","POULET JAUNE FERMIER ELEVE EN LIBERTE ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0472","POULET JAUNE FERMIER ELEVE EN LIBERTE ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0481","POULET JAUNE FERMIER ELEVE EN LIBERTE ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0711","POULET JAUNE FERMIER ELEVE EN LIBERTE ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0512","POULET JAUNE FERMIER DE 100 JOURS ELEVE EN LIBERTE ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A835","POULET DU PERIGORD","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A642","POULET DES CEVENNES OU CHAPON DES CEVENNES","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A643","POULET DE L ARDECHE OU CHAPON DE L ARDECHE","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0194","POULET COU NU FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1490","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0102","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0290","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0304","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0395","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0404","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0478","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0487","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0611","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0713","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0782","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0786","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0880","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0980","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0982","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1180","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1198","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1388","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1692","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1787","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0185","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0282","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0484","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0887","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA2290","POULET BLANC FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0293","POULET BLANC FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0584","POULET BLANC FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0805","POULET BLANC FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0876","POULET BLANC FERMIER ELEVE EN PLEIN AIR","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0271","POULET BLANC FERMIER ELEVE EN LIBERTE ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0811","POULET BLANC FERMIER ELEVE EN LIBERTE ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1266","POULET BLANC FERMIER ELEVE EN LIBERTE ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA5288","POULET BLANC FERMIER DE 100 JOURS ELEVE EN LIBERTE ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1495","POULET BLANC A PATTES BLEUES FERMIER ELEVE EN PLEIN AIR ENTIER ET DECOUPES FRAIS OU SURGELE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA3588","POULE FERMIERE ELEVEE EN LIBERTE ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0312","POULARDE NOIRE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1092","POULARDE NOIRE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0413","POULARDE JAUNE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0610","POULARDE JAUNE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0793","POULARDE JAUNE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1302","POULARDE JAUNE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1391","POULARDE JAUNE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1492","POULARDE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1091","POULARDE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1191","POULARDE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1591","POULARDE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1392","POULARDE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA2599","POULARDE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A1161","POULARDE DU PERIGORD","IGP, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1002","POULARDE BLANCHE FERMIERE ELEVEE EN PLEIN AIR ENTIERE FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1094","POULARDE BLANCHE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA1291","POULARDE BLANCHE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA5188","POULARDE BLANCHE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA2801","POULARDE BLANCHE FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"LA0704","POULARDE BLANCHE A PATTES BLEUES FERMIERE ELEVEE EN PLEIN AIR ENTIERE ET DECOUPES FRAICHE OU SURGELEE","LR, VIANDES DE VOLAILLES FRAICHES CONGELEES OU SURGELEES",NA,NA,NA,NA,"poultry","meat"
"A218","POUILLYVINZELLES","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A102","POUILLYSURLOIRE","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A217","POUILLYLOCHE","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A101","POUILLYFUME OU BLANC FUME DE POUILLY","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A216","POUILLYFUISSE","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A664","PORC NOIR DE BIGORRE","AOP & AOC, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"A635","PORC DU SUDOUEST","IGP, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"A512","PORC DU LIMOUSIN","IGP, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"A511","PORC DE VENDEE","IGP, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"A509","PORC DE LA SARTHE","IGP, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
"A653","PORC DE FRANCHECOMTE","IGP, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"swine","meat"
